# Purpose: DICONDE data dictionary for the dpx-dicom.
#
# Dictionary of Digital Imaging and Communication in Nondestructive
# Evaluation (DICONDE) tags.  Please note that the file "dicom.tsv"
# contains the non-private DICONDE tag definitions since they are now
# official part of the DICOM standard (beginning with 2011 edition).
#
# Each line represents an entry in the data dictionary. Each line has 6 fields
# `Tag`, `VR`, `Name`, `Keyword`, `VM` and `Version`.
#
# Entries need not be in ascending tag order. Entries may override existing
# entries. Each field must be separated by a single tab. It is assumed, that
# more general items goes first, than more specific.
#
# `Tag` field must in form `(gggg,eeee[,"creator"])` where `gggg`, `eeee` must
# be in hexadecimal form or one of special characters: `X` = any digit, 'O' -
# odd digit, 'N' - even digit. `creator` string is optional and specifies Private
# Attribute creator. If present, it must be enclosed in double quotes and
# separated by comma from an adjacent element number.
#
# `VR` field can contain up to three Value Representation names separated with " or "
# Undefined VR should be written as "--".
#
# `Name` field should contain only graphical ASCII characters and white
# space [\x20-\x7E]. Maximum length is 128 bytes.
#
# `Keyword` field should contain only a subset of ASCII characters [A-Za-z0-9_]
# preferably in CamelCase. Keyword should start with a letter. Maximum length is
# 64 bytes.
#
# `VM` field should contain one of the forms: `B`, `B-E`, `B-n`, `B-Bn`, where
# `B` - minimum number of repetitions 0 to 255, `E` - maximum number of
# repetitions 1 to 255, `n` - literal "n" symbol, which denotes "unbounded".
# Special form `B-Bn` means "arbitrary number multiple of B".
#
# `Version` field should contain one of the following terms (case insensitive):
# - `DICONDE` - standard DICONDE attribute
# - `Ret` - retired attribute from an unspecified source.
#
# Comments have a '#' at the beginning of the line. The file should be encoded
# as UTF-8 without BOM.
# Tag		VR	Name			Keyword			VM	Version

# ASTM E2339−15 Standard Practice for Digital Imaging and Communication in Nondestructive Evaluation (DICONDE)
# Component module
(0010,0010)	PN	Component Name	ComponentName	1	DICONDE
(0010,0020)	LO	Component ID Number	ComponentIDNumber	1-n	DICONDE
(0010,1000)	LO	Other Component IDs	OtherComponentIDs	1-n	DICONDE
(0010,1001)	PN	Other Component Names	OtherComponentNames	1-n	DICONDE
(0010,0030)	DA	Component Manufacturing Date	ComponentManufacturingDate	1	DICONDE
(0010,4000)	LT	Component Notes	ComponentNotes	1	DICONDE
(0010,2160)	SH	Material Name	MaterialName	1	DICONDE
# Component Study Module
(0008,0090)	PN	Component Owner Name	ComponentOwnerName	1	DICONDE
(0008,1048)	PN	Inspecting Company Name	InspectingCompanyName	1-n	DICONDE
(0008,1060)	PN	Certifying Inspector Name	CertifyingInspectorName	1-n	DICONDE
(0032,4000)	LT	Examination Notes	ExaminationNotes	1	DICONDE
(0008,1050)	PN	Inspector Name	InspectorName	1-n	DICONDE
# NDE Equipment Module
(0008,0080)	LO	Company Name	CompanyName	1	DICONDE
(0008,0081)	ST	Company Address	CompanyAddress	1	DICONDE
(0008,1040)	LO	Department Name	DepartmentName	1	DICONDE
(0018,1008)	LO	Scanner ID	ScannerID	1	DICONDE
# NDE Indication Module
(0040,A30A)	DS	Property Value	PropertyValue	1-n	DICONDE
(0040,08EA)	SQ	Property Units Code Sequence	PropertyUnitsCodeSequence	1	DICONDE
(0070,0023)	CS	Indication ROI Geometric Type	IndicationROIGeometricType	1	DICONDE
(0040,A040)	CS	Indication ROI Value Type	IndicationROIValueType	1	DICONDE
(0070,0021)	US	Number of ROI Contour Points	NumberOfROIContourPoints	1	DICONDE
(0070,0022)	DS	Indication ROI Contour Data	IndicationROIContourData	2-n	DICONDE

# ASTM E2934-14 Standard Practice for Digital Imaging and Communication in Nondestructive Evaluation (DICONDE) for Eddy Current (EC) Test Methods1
# NDE EC Image Module Attributes
(0008,2124)	IS	Number of Surfaces	NumberOfSurfaces	1	DICONDE
(0008,212A)	IS	Number of Total Channels	NumberOfTotalChannels	1	DICONDE
(0008,2122)	IS	Surface Number	SurfaceNumber	1	DICONDE
(0008,2127)	SH	Channel Name	ChannelName	1	DICONDE
(0008,2128)	IS	Channel Number	ChannelNumber	1	DICONDE
(0018,6014)	US	Pixel Data Type	PixelDataType	1	DICONDE


# Ripped from OFFIS DCMTK "diconde.dic" file
(0009,1020,"astm.org/diconde/iod/ComponentStudy")	DA	Expiry Date	ExpiryDate_CompStudy	1	Ret

(0009,1010,"astm.org/diconde/iod/ComponentSeries")	ST	Actual Environmental Conditions	ActualEnvironmentalConditions_CompSeries	1	Ret
(0009,1040,"astm.org/diconde/iod/ComponentSeries")	ST	Environmental Conditions	EnvironmentalConditions_CompSeries	1	Ret

(0011,1023,"astm.org/diconde/iod/Component")	ST	CAD File Format	CADFileFormat_Component	1-n	Ret
(0011,1024,"astm.org/diconde/iod/Component")	ST	Component Ref System	ComponentRefSystem_Component	1-n	Ret
(0011,1025,"astm.org/diconde/iod/Component")	ST	Component Manufacturing Procedure	ComponentManufacturingProcedure_Component	1-n	Ret
(0011,1028,"astm.org/diconde/iod/Component")	ST	Component Manufacturer	ComponentManufacturer_Component	1-n	Ret
