# Purpose: This is the global standard DICOM data dictionary for the dpx-dicom.
#
# This file contains the complete data dictionary from the latest edition of
# the DICOM standard. This also includes the non-private definitions from the
# DICONDE (Digital Imaging and Communication in Nondestructive Evaluation) and
# DICOS (Digital Imaging and Communications in Security) standard.
#
# Generated automatically from DICOM PS3.6 2022e and DICOM PS3.7 2022e.
# File created on Fri, 20 Jan 2023 16:03:03 +0300 by "stingx" on "desktop-2iqn19a".
#
# Full command line:
# target\debug\mk-dicom-tsv.exe D:\pc\rust\dicom-standard-xml\docbook
#
# Each line represents an entry in the data dictionary. Each line has 6 fields
# `Tag`, `VR`, `Name`, `Keyword`, `VM` and `Version`.
#
# Entries need not be in ascending tag order. Entries may override existing
# entries. Each field must be separated by a single tab. It is assumed, that
# more general items goes first, than more specific.
#
# `Tag` field must in form `(gggg,eeee[,"creator"])` where `gggg`, `eeee` must
# be in hexadecimal form or one of special characters: `X` = any digit, 'O' -
# odd digit, 'N' - even digit. `creator` string is optional and specifies Private
# Attribute creator. If present, it must be enclosed in double quotes and
# separated by comma from an adjacent element number.
#
# `VR` field can contain up to three Value Representation names separated with " or "
# Undefined VR should be written as "??".
#
# `Name` field should contain only graphical ASCII characters and white
# space [\x20-\x7E]. Maximum length is 128 bytes.
#
# `Keyword` field should contain only a subset of ASCII characters [A-Za-z0-9_]
# preferably in CamelCase. Keyword should start with a letter. Maximum length is
# 64 bytes.
#
# `VM` field should contain one of the forms: `B`, `B-E`, `B-n`, `B-Bn`, where
# `B` - minimum number of repetitions 0 to 255, `E` - maximum number of
# repetitions 1 to 255, `n` - literal "n" symbol, which denotes "unbounded".
# Special form `B-Bn` means "arbitrary number multiple of B".
#
# `Version` field should contain one of the following terms (case insensitive):
# - `Invalid` - invalid attribute
# - `Dicom` - standard DICOM attribute
# - `Diconde` - standard DICONDE attribute
# - `Dicos` - standard DICOS attribute
# - `Ret` - retired attribute from an unspecified source.
# - `Priv` - This is a private attribute known not to contain any patient
#   identifying information.
# - `Priv(X)` - This is a private attribute that contains patient
#   identifying information. 'X' specifies a method of "de-identification" for
#   this attribute and should be one of the following:
#   - `D` - replace with a non-zero length value that may be a dummy value and
#     consistent with the VR
#   - `Z` - replace with a zero length value, or a non-zero length value that
#     may be a dummy value and consistent with the VR
#   - `X` - remove
#   - `U` - replace with a non-zero length UID that is internally consistent
#     within a set of Instance
#
# Comments have a '#' at the beginning of the line. The file should be encoded
# as UTF-8 without BOM.
#
# Tag		VR	Name			Keyword			VM	Version
(0000,0000)	UL	Command Group Length	CommandGroupLength	1	Dicom
(0000,0001)	UL	Command Length to End	CommandLengthToEnd	1	Ret
(0000,0002)	UI	Affected SOP Class UID	AffectedSOPClassUID	1	Dicom
(0000,0003)	UI	Requested SOP Class UID	RequestedSOPClassUID	1	Dicom
(0000,0010)	SH	Command Recognition Code	CommandRecognitionCode	1	Ret
(0000,0100)	US	Command Field	CommandField	1	Dicom
(0000,0110)	US	Message ID	MessageID	1	Dicom
(0000,0120)	US	Message ID Being Responded To	MessageIDBeingRespondedTo	1	Dicom
(0000,0200)	AE	Initiator	Initiator	1	Ret
(0000,0300)	AE	Receiver	Receiver	1	Ret
(0000,0400)	AE	Find Location	FindLocation	1	Ret
(0000,0600)	AE	Move Destination	MoveDestination	1	Dicom
(0000,0700)	US	Priority	Priority	1	Dicom
(0000,0800)	US	Command Data Set Type	CommandDataSetType	1	Dicom
(0000,0850)	US	Number of Matches	NumberOfMatches	1	Ret
(0000,0860)	US	Response Sequence Number	ResponseSequenceNumber	1	Ret
(0000,0900)	US	Status	Status	1	Dicom
(0000,0901)	AT	Offending Element	OffendingElement	1-n	Dicom
(0000,0902)	LO	Error Comment	ErrorComment	1	Dicom
(0000,0903)	US	Error ID	ErrorID	1	Dicom
(0000,1000)	UI	Affected SOP Instance UID	AffectedSOPInstanceUID	1	Dicom
(0000,1001)	UI	Requested SOP Instance UID	RequestedSOPInstanceUID	1	Dicom
(0000,1002)	US	Event Type ID	EventTypeID	1	Dicom
(0000,1005)	AT	Attribute Identifier List	AttributeIdentifierList	1-n	Dicom
(0000,1008)	US	Action Type ID	ActionTypeID	1	Dicom
(0000,1020)	US	Number of Remaining Sub-operations	NumberOfRemainingSuboperations	1	Dicom
(0000,1021)	US	Number of Completed Sub-operations	NumberOfCompletedSuboperations	1	Dicom
(0000,1022)	US	Number of Failed Sub-operations	NumberOfFailedSuboperations	1	Dicom
(0000,1023)	US	Number of Warning Sub-operations	NumberOfWarningSuboperations	1	Dicom
(0000,1030)	AE	Move Originator Application Entity Title	MoveOriginatorApplicationEntityTitle	1	Dicom
(0000,1031)	US	Move Originator Message ID	MoveOriginatorMessageID	1	Dicom
(0000,4000)	LT	Dialog Receiver	DialogReceiver	1	Ret
(0000,4010)	LT	Terminal Type	TerminalType	1	Ret
(0000,5010)	SH	Message Set ID	MessageSetID	1	Ret
(0000,5020)	SH	End Message ID	EndMessageID	1	Ret
(0000,5110)	LT	Display Format	DisplayFormat	1	Ret
